timestamp,node_id,node_name,ax,ay,az,gx,gy,gz,qw,qx,qy,qz,roll,pitch,yaw,rep_number
1767366964.111339,2,right_wrist,-0.4543,-0.3787,-0.2289,-2.03,-29.05,105.63,-0.3891087207557415,0.8058355090315324,-0.3959157614595903,-0.20609280832574936,-142.84700849866604,39.811385593544756,-38.453542410165205,0
1767366964.1685948,1,left_wrist,-0.4514,0.3221,-0.2591,-21.7,-5.74,-45.85,0.25375443969013384,0.7761683264363183,-0.2438306652919054,-0.5231806762848739,116.51260334646224,43.504086692651306,-62.612220956317614,0
1767366964.1685948,2,right_wrist,-0.4543,-0.3787,-0.2289,-2.03,-29.05,105.63,-0.38650206644508306,0.7831277457198612,-0.42659078966480185,-0.2352602488534129,-145.58073081823645,44.28549675071066,-42.789279850739646,0
1767366964.2630432,1,left_wrist,-0.4514,0.3221,-0.2591,-21.7,-5.74,-45.85,0.24650093557603966,0.7793159378989751,-0.22264880450583263,-0.5313487249903791,116.81592919425486,45.923427110939706,-61.098906472766735,0
1767366964.2630432,2,right_wrist,-0.5056,0.1005,-0.2713,85.4,10.92,-68.18,-0.41998666910728566,0.7634572960808835,-0.43490775500729123,-0.22715501197981844,-140.79962036910686,45.4107049332853,-42.38774163473429,0
1767366964.3144808,1,left_wrist,-0.4329,0.3353,-0.2845,-23.52,13.02,92.61,0.30157810879651875,0.7643780175721121,-0.27021783850365144,-0.5017561263219984,113.25014731326884,37.16260634117493,-63.91216942806228,0
1767366964.3144808,2,right_wrist,-0.5056,0.1005,-0.2713,85.4,10.92,-68.18,-0.45063515224850065,0.7601467272281089,-0.42417733383579015,-0.19793560089667075,-134.90683527568714,43.09567328925129,-39.704428518303224,0
1767366964.3712928,1,left_wrist,-0.0922,0.3201,-0.2499,-26.81,72.31,221.34,0.36615448132372,0.747700971006481,-0.32915782109791974,-0.445566249364326,111.7105799521894,25.166831233336517,-64.73770318581812,0
1767366964.3712928,2,right_wrist,-0.3762,0.0747,-0.2054,-23.38,41.79,-133.77,-0.44378488617503115,0.7910368912536091,-0.3873736544088694,-0.1650977387742134,-133.85015480131125,37.230133577805034,-35.8503860210511,0
1767366964.463109,1,left_wrist,0.264,0.4978,-0.1781,-86.52,90.02,256.69,0.45612410944267306,0.7078354482581549,-0.38111013137195454,-0.3816737386040033,107.34575233162207,11.107905771412575,-64.7769169507167,0
1767366964.463109,2,right_wrist,0.4953,-1.0512,-0.3631,-79.17,122.64,-273.7,-0.4208817976319146,0.8735003752694576,-0.2446225059240416,0.003928921186209871,-131.21379949178535,11.481439877317118,-26.069227380878715,0
